parameter_name,Total T cell percentage
pvalue,0.8929482
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1915848
parameter_id,MGP_PBI_001_001
analysis_id,39t157h07y5644o
gene_symbol,Dnajc8
