gene_symbol,Amigo1
pvalue,0.9063695
parameter_name,Resting Treg cells - % of CD45+
gene_accession_id,MGI:2653612
mouse_life_stage,Early adult
parameter_id,MGP_MLN_071_001
mouse_strain,C57BL
analysis_id,86dgit068356n7c
