analysis_id,fimkbq28m4tw0m8
parameter_name,HRV
gene_symbol,Bcs1l
mouse_strain,C57BL
pvalue,0.5007606
parameter_id,IMPC_ECG_010_001
gene_accession_id,MGI:1914071
mouse_life_stage,E12.5
