analysis_id,9310ft42x7h0d7t
gene_symbol,Ints7
gene_accession_id,MGI:1924315
parameter_id,MGP_PBI_003_001
mouse_life_stage,E9.5
pvalue,0.6138501
parameter_name,CD4+ alpha beta T cell percentage
mouse_strain,C57BL
