analysis_id,z7dp310a0u0em63
pvalue,0.3727043
gene_accession_id,MGI:1920638
gene_symbol,Bpifa3
mouse_strain,129SV
parameter_name,Periphery average speed
mouse_life_stage,Early adult
parameter_id,JAX_OFD_013_001
