analysis_id,99608acyi0y616u
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_020_001
gene_symbol,Sdcbp2
parameter_name,Distance travelled - total
pvalue,0.9384213
gene_accession_id,MGI:2385156
mouse_life_stage,Early adult
