parameter_id,IMPC_FEA_107_001
analysis_id,ui3r8882712p52x
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Snap23
parameter_name,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
gene_accession_id,MGI:109356
pvalue,0.8038758
