parameter_id,IMPC_XRY_018_001
mouse_life_stage,Early adult
gene_symbol,Nanp
mouse_strain,C57BL
parameter_name,Shape of vertebrae
pvalue,0.4066909
gene_accession_id,MGI:1914561
analysis_id,v28346873gh4vh3
