gene_symbol,Nanp
parameter_name,Pericardium Morphology
mouse_life_stage,E18.5
analysis_id,0l249errq584h59
pvalue,0.1916637
parameter_id,IMPC_GEL_006_001
mouse_strain,C59BL
gene_accession_id,MGI:1914561
