analysis_id,259we2yk506f831
gene_symbol,Bcs1l
mouse_life_stage,E12.5
pvalue,0.134529
gene_accession_id,MGI:1914071
parameter_name,Center average speed
parameter_id,IMPC_OFD_017_001
mouse_strain,C57BL
