analysis_id,5n937lnti232t11
parameter_name,Spleen weight
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_accession_id,MGI:1336200
gene_symbol,Hpca
pvalue,0.8648648
parameter_id,UCD_OWT_003_001
