gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_id,ESLIM_016_001_005
parameter_name,Mean cell volume
mouse_strain,C57BL
pvalue,0.2767778
gene_accession_id,MGI:1924360
analysis_id,59id9pz3ln29t62
