parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1927232
mouse_life_stage,Early adult
parameter_name,Latency to center entry
analysis_id,bj2z625v9vg7h4g
gene_symbol,Rab13
pvalue,0.6821058
