parameter_name,Joints
gene_accession_id,MGI:2441730
mouse_strain,C57BL
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
analysis_id,rqss94e1v76ybg3
parameter_id,IMPC_XRY_027_001
pvalue,0.07930294
