analysis_id,b6075kb0oi4884o
pvalue,0.7455907
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Duoxa2
parameter_id,MGP_IMM_089_001
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_accession_id,MGI:1914061
