gene_symbol,Zyg11b
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
mouse_life_stage,E18.5
parameter_name,Limb morphology
gene_accession_id,MGI:2685277
analysis_id,4y1r3lc00i0ggid
pvalue,0.2599178
