gene_symbol,Rhbg
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
pvalue,0.4872897
gene_accession_id,MGI:1927379
analysis_id,24ivz4bwc62038m
parameter_name,Facial Morphology
mouse_strain,C57BL
