mouse_strain,C57BL
gene_symbol,Med22
parameter_name,Resting Treg cells - % of Treg
analysis_id,qc35698nf1v98gh
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:98446
pvalue,0.7487627
mouse_life_stage,Early adult
