analysis_id,pq326o384407p1n
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Lpgat1
pvalue,0.2160838
parameter_name,Right kidney weight
gene_accession_id,MGI:2446186
