analysis_id,hu55547749718n6
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.332285
parameter_name,Total NK cells - % of CD45+
gene_symbol,Bpifa3
parameter_id,MGP_MLN_031_001
gene_accession_id,MGI:1920638
