parameter_id,HRWLLA_CBC_014_001
analysis_id,2p41k12d76ac7sh
gene_symbol,Ncaph
gene_accession_id,MGI:2444777
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
pvalue,0.9866602
mouse_life_stage,Early adult
