pvalue,4.459881e-10
gene_symbol,Sla2
mouse_strain,C57BL
analysis_id,d966495ns6g906n
parameter_name,Skull shape
gene_accession_id,MGI:1925049
mouse_life_stage,Early adult
parameter_id,CCP_XRY_001_001
