parameter_id,HMGULA_DYS_024_001
parameter_name,Vibrissae - appearance
gene_accession_id,MGI:2685277
mouse_strain,C57BL
pvalue,0.3156173
analysis_id,2j8hwz46c9qp4di
mouse_life_stage,E18.5
gene_symbol,Zyg11b
