parameter_name,End-Systolic Diameter
parameter_id,IMPC_ECH_001_001
gene_symbol,Kdm4c
pvalue,0.331182
analysis_id,l9d62r4r6ed48ni
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
mouse_strain,C57BL
