parameter_name,Neutrophils
mouse_strain,C57BL
parameter_id,IMPC_IMM_050_001
analysis_id,51v39zn81q4c7qb
pvalue,1.408461
gene_symbol,Cd52
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
