analysis_id,j1hzvk73976mepl
parameter_name,White blood cell-count
gene_symbol,Inpp1
gene_accession_id,MGI:104848
parameter_id,M-G-P_016_001_001
pvalue,0.4673105
mouse_life_stage,Early adult
mouse_strain,129SV
