gene_symbol,Stk35
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
pvalue,0.7495846
parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
mouse_strain,C57BL
analysis_id,8u09ldo212b1d5z
