mouse_life_stage,Middle aged adult
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:1336200
analysis_id,w33f592lx40kpcs
pvalue,0.8362596
mouse_strain,C57BL
gene_symbol,Hpca
parameter_name,Caudal processes
