analysis_id,5z45j2ufisn2fc2
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Rab22a
parameter_id,MGP_PBI_010_001
gene_accession_id,MGI:105072
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.6201988
