parameter_name,Center permanence time
gene_symbol,Kdm5b
analysis_id,fi80w7yy61g8ez5
parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:1922855
pvalue,0.7082976
mouse_life_stage,Early adult
mouse_strain,C57BL
