analysis_id,9339381630uyq14
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
pvalue,0.8668289
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
