gene_symbol,Nanp
mouse_strain,C57BL
parameter_name,Persistence of hyaloid vascular system
analysis_id,709v70yc59k8e0q
pvalue,0.1923903
mouse_life_stage,E18.5
gene_accession_id,MGI:1914561
parameter_id,IMPC_EYE_027_001
