analysis_id,0o620qabdt08447
parameter_name,Periphery resting time
parameter_id,IMPC_OFD_011_001
pvalue,0.6138174
gene_symbol,Ints7
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_accession_id,MGI:1924315
