parameter_id,TCPLA_XRY_033_001
analysis_id,6nw846xe1s90w5a
mouse_life_stage,Late adult
pvalue,0.2636151
mouse_strain,C57BL
gene_accession_id,MGI:2140475
parameter_name,Tibia length
gene_symbol,AU040320
