analysis_id,0q9w5ag3nh444d7
parameter_name,KLRG1+ mature NK cell percentage
gene_accession_id,MGI:97838
pvalue,0.5290379
gene_symbol,Eprs1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
