parameter_name,Ly6Clow monocyte percentage
analysis_id,o3575z6on1s711u
mouse_strain,C57BL
pvalue,0.7561894
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
parameter_id,MGP_PBI_018_001
gene_symbol,Rab17
