analysis_id,3842gny8o4830p7
gene_symbol,Gpbp1l1
pvalue,0.7470347
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1924360
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
mouse_life_stage,Early adult
