analysis_id,4u751l4841z1o0g
gene_accession_id,MGI:107414
mouse_life_stage,Early adult
gene_symbol,Tnfsf10
parameter_id,IMPC_EYE_092_002
parameter_name,Retina (combined)
pvalue,0.7971194
mouse_strain,C57BL
