analysis_id,ie69riiwuj8s2hz
parameter_id,IMPC_HEM_003_001
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Hemoglobin
pvalue,0.09536395
