analysis_id,196yi6a7t9yg8yy
pvalue,0.8082725
gene_symbol,Snrpb2
gene_accession_id,MGI:104805
mouse_life_stage,Early adult
parameter_id,MGP_IMM_011_001
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
