parameter_name,Time mobile light side
mouse_strain,C51BL
gene_accession_id,MGI:2385884
gene_symbol,Ddx27
parameter_id,JAX_LDT_003_001
analysis_id,tuolu4eel94t371
pvalue,0.4451671
mouse_life_stage,Early adult
