gene_symbol,Ntmt2
parameter_id,IMPC_CBC_012_001
mouse_life_stage,Early adult
analysis_id,x7hng1492efv9x3
gene_accession_id,MGI:2685053
parameter_name,Aspartate aminotransferase
mouse_strain,C57BL
pvalue,0.8740081
