gene_symbol,Cpa3
parameter_id,IMPC_EYE_056_001
pvalue,0.7100248
mouse_life_stage,Early adult
analysis_id,6d3nzc2l2af37r6
gene_accession_id,MGI:88479
parameter_name,Mean left eye lens density
mouse_strain,C57BL
