parameter_id,MGP_BMI_014_001
analysis_id,h0788a3r4s8p065
gene_accession_id,MGI:1927232
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Rab13
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1140348
