gene_symbol,Tiprl
mouse_strain,C57BL
parameter_id,MGP_IMM_015_001
mouse_life_stage,E12.5
parameter_name,Resting CD8+ T cells - % of CD8+
analysis_id,9v62a7b33hg0k06
gene_accession_id,MGI:1915087
pvalue,0.7289118
