analysis_id,aw5urbt98p97ckb
parameter_id,IMPC_DXA_002_001
mouse_life_stage,Early adult
parameter_name,Fat mass
pvalue,0.464499
mouse_strain,C57BL
gene_symbol,Fpgs
gene_accession_id,MGI:95576
