analysis_id,m1j2f6363090ty1
mouse_strain,C57BL
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
pvalue,0.2717708
mouse_life_stage,Early adult
gene_symbol,Tnni1
parameter_id,MGP_IMM_026_001
gene_accession_id,MGI:105073
