parameter_id,MGP_MLN_010_001
mouse_life_stage,Early adult
analysis_id,48sfn8415153jg7
gene_accession_id,MGI:88380
mouse_strain,C57BL
pvalue,0.7257963
parameter_name,Resting Treg cells - % of Treg
gene_symbol,F2
