parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
gene_symbol,Opn3
gene_accession_id,MGI:1338022
mouse_life_stage,Early adult
pvalue,0.9038004
mouse_strain,C57BL
analysis_id,04728i1s1qk32z2
