gene_symbol,Nipal3
gene_accession_id,MGI:1921802
mouse_strain,129SV
pvalue,0.7215638
parameter_id,IMPC_CBC_003_001
analysis_id,76805qpe4lh3x55
parameter_name,Chloride
mouse_life_stage,Early adult
