analysis_id,j207yur000t92u7
pvalue,0.6672169
gene_accession_id,MGI:1921493
mouse_life_stage,Early adult
gene_symbol,Slx4ip
mouse_strain,C57BL
parameter_id,IMPC_DXA_002_001
parameter_name,Fat mass
