parameter_name,Hematocrit
gene_accession_id,MGI:104848
gene_symbol,Inpp1
mouse_strain,C57BL
parameter_id,IMPC_HEM_004_001
mouse_life_stage,Early adult
analysis_id,v4tv26145qg94yc
pvalue,0.9740813
