gene_symbol,Dmap1
analysis_id,t2f6p58r451fm18
mouse_life_stage,Early adult
parameter_name,Corneal opacity
parameter_id,IMPC_EYE_008_001
pvalue,0.8211557
gene_accession_id,MGI:1913483
mouse_strain,C57BL
