parameter_name,Latency to center entry
gene_symbol,Duoxa2
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
gene_accession_id,MGI:1914061
mouse_life_stage,Early adult
pvalue,0.8324295
analysis_id,1q41fw9bwf67bp4
