analysis_id,b20728od3jt7kcm
gene_accession_id,MGI:1923959
pvalue,0.6449308
parameter_id,ESLIM_007_001_015
gene_symbol,Arpc2
parameter_name,Number of centre entries
mouse_strain,129SV
mouse_life_stage,Early adult
