parameter_name,Percentage center time
analysis_id,41ki4nx25nc0d99
pvalue,1.340517
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:104848
gene_symbol,Inpp1
parameter_id,IMPC_OFD_022_001
