analysis_id,2w3627c0x31491u
mouse_strain,C57BL
gene_symbol,Atrn
parameter_id,JAXLA_OFD_017_001
pvalue,0.865606
mouse_life_stage,Early adult
parameter_name,Center average speed
gene_accession_id,MGI:1341628
