analysis_id,2j0n30nr24l5rmw
parameter_id,M-G-P_013_001_001
gene_symbol,Arpc2
pvalue,0.9986291
gene_accession_id,MGI:1923959
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_name,Eye
