analysis_id,117n0i2196070xi
gene_accession_id,MGI:2685053
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_003_001
mouse_strain,C57BL
parameter_name,Stroke Volume
pvalue,0.06250384
gene_symbol,Ntmt2
