parameter_name,eye size
mouse_life_stage,Early adult
analysis_id,85uw18jpx64a2u0
parameter_id,ESLIM_001_001_117
gene_accession_id,MGI:1918025
mouse_strain,C57BL
gene_symbol,Zmynd8
pvalue,0.3741829
