gene_symbol,Lpgat1
analysis_id,4psv9pz253r5ub6
pvalue,0.5447744
gene_accession_id,MGI:2446186
mouse_life_stage,Middle aged adult
parameter_id,MGP_CSD_025_001
mouse_strain,C57BL
parameter_name,Ventral coat/hair presence
