analysis_id,49a77b239wvik1f
gene_accession_id,MGI:2443129
gene_symbol,Golm2
mouse_life_stage,Early adult
parameter_name,Heart weight
mouse_strain,C57BL
pvalue,0.3187893
parameter_id,IMPC_HWT_008_001
