gene_symbol,AU040320
mouse_strain,C57BL
pvalue,0.3748832
parameter_name,Spleen weight
analysis_id,2il3qjk530l5803
gene_accession_id,MGI:2140475
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
