gene_symbol,Psd4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_CSD_008_001
analysis_id,fw1lrxtwo7v025h
parameter_name,Startle response
pvalue,1.491726
gene_accession_id,MGI:2674093
